GPO,IDN,FA #,FA Name,Franchise,Product Line,Manufacturer,Item #,Item Description,Month,Quarter,Year,Usage,Collected,Accepted,DNR,Available,Purchased,Cancelled
HPG,Quorum Purchasing Advantage,189271,North Valley Hospital,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RBG60,Bariatric Garment (1 Pair),September,Q3,2018,0,31,20,0,0,10,-10
HPG,Quorum Purchasing Advantage,189271,North Valley Hospital,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RCG10,Restep Calf Garment (1 Pair),September,Q3,2018,0,397,338,0,0,110,-110
HPG,Quorum Purchasing Advantage,189271,North Valley Hospital,SUR,Arthroscopic Shavers / Burs,Stryker,375-555-000,Formula Tomcat Cutter,September,Q3,2018,0,0,0,0,0,5,-5
HPG,Quorum Purchasing Advantage,189271,North Valley Hospital,SUR,Ultrasonic Scalpels,Ethicon Endo-Surgery Inc.,HAR36,HARMONIC ACE Shears without,September,Q3,2018,0,1,1,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Blood Pressure Cuffs,GE Healthcare,2116,Soft Blood Pressure Cuff,September,Q3,2018,0,102,90,0,80,0,80
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Blood Pressure Cuffs,GE Healthcare,2117,Soft Cuf 2-Tube Submin,September,Q3,2018,0,6,6,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Blood Pressure Cuffs,GE Healthcare,2400,Soft Cuf 2-Tube Submin,September,Q3,2018,0,1,1,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Blood Pressure Cuffs,GE Healthcare,2403,Soft Blood Pressure Cuff,September,Q3,2018,0,11,9,0,20,0,20
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Blood Pressure Cuffs,GE Healthcare,2404,Soft Blood Pressure Cuff,September,Q3,2018,0,107,107,0,240,0,240
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RBG60,Bariatric Garment (1 Pair),September,Q3,2018,0,14,9,0,0,20,-20
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Compression Devices - Restep,Stryker Sustainability Solutions - Tempe,RCG10,Restep Calf Garment (1 Pair),September,Q3,2018,0,244,207,0,0,190,-190
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Masimo Corporation,1860,Pediatric O2 Transducer,September,Q3,2018,0,10,10,0,20,0,20
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Masimo Corporation,2317,Adult O2 Transducer,September,Q3,2018,0,1,1,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-A,Adult Pulse Oximeter Sensor,September,Q3,2018,0,200,195,0,144,216,-72
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-I,Infant Pulse Oximeter Sensor,September,Q3,2018,0,30,30,0,48,48,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-N,Neonatal Pulse Oximeter,September,Q3,2018,0,58,55,0,48,48,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,NON,Pulse Oximeters,Nellcor Puritan Bennett Inc.,MAX-P,Pediatric Pulse Oximeter,September,Q3,2018,0,10,10,0,48,24,24
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Burrs / Bits / Blades,Stryker,4125-127-100,Dual Cut Sagittal,September,Q3,2018,0,1,0,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Burrs / Bits / Blades,Synthes,310.21,Drill Bit QC,September,Q3,2018,0,0,0,0,0,7,-7
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,2B5LT,XCEL Bladeless Trocar,September,Q3,2018,0,24,0,0,12,30,-18
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,2D5LT,XCEL Dilating Tip Trocar,September,Q3,2018,0,4,0,0,6,6,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,B11LT,Xcel Bladeless Trocar,September,Q3,2018,0,2,2,0,0,0,0
HPG,Quorum Purchasing Advantage,199328,West Park Hospital District,SUR,Endoscopic Trocars,Ethicon Endo-Surgery Inc.,H12LP,Xcel Blunt Tip Trocar,September,Q3,2018,0,2,0,0,6,0,6
